x: 1, y: 0.8
x: 1.0019116704206557, y: 0.8005844563004315
x: 1.003822401750041, y: 0.8011686254918489
x: 1.005732193988156, y: 0.8017525075742522
x: 1.0076410471350008, y: 0.8023361025476415
x: 1.009548961190575, y: 0.8029194104120169
x: 1.011455936154879, y: 0.8035024311673781
x: 1.0133619720279126, y: 0.8040851648137253
x: 1.0152670688096759, y: 0.8046676113510585
x: 1.0171712265001687, y: 0.8052497707793776
x: 1.0190744450993912, y: 0.8058316430986827
x: 1.0209767246073433, y: 0.8064132283089738
x: 1.0228780650240252, y: 0.8069945264102508
x: 1.0247784663494366, y: 0.8075755374025138
x: 1.0266779285835776, y: 0.8081562612857627
x: 1.0285764517264484, y: 0.8087366980599976
x: 1.0304740357780489, y: 0.8093168477252185
x: 1.0323706807383788, y: 0.8098967102814253
x: 1.0342663866074384, y: 0.8104762857286181
x: 1.0361611533852277, y: 0.8110555740667968
x: 1.0380549810717468, y: 0.8116345752959616
x: 1.0399478696669953, y: 0.8122132894161123
x: 1.0418398191709735, y: 0.8127917164272489
x: 1.0437308295836814, y: 0.8133698563293715
x: 1.045620900905119, y: 0.81394770912248
x: 1.047510033135286, y: 0.8145252748065746
x: 1.0493982262741828, y: 0.815102553381655
x: 1.0512854803218092, y: 0.8156795448477215
x: 1.0531717952781654, y: 0.8162562492047739
x: 1.0550571711432513, y: 0.8168326664528123
x: 1.0569416079170666, y: 0.8174087965918366
x: 1.0588251055996116, y: 0.817984639621847
x: 1.0607076641908864, y: 0.8185601955428432
x: 1.0625892836908908, y: 0.8191354643548254
x: 1.0644699640996247, y: 0.8197104460577936
x: 1.0663497054170883, y: 0.8202851406517478
x: 1.0682285076432816, y: 0.8208595481366879
x: 1.0701063707782046, y: 0.821433668512614
x: 1.071983294821857, y: 0.8220075017795261
x: 1.0738592797742392, y: 0.822581047937424
x: 1.075734325635351, y: 0.823154306986308
x: 1.0776084324051927, y: 0.8237272789261779
