x: 1, y: 0.8
x: 0.9997910457204157, y: 0.8019880671702353
x: 0.9995821940877823, y: 0.8039751577199693
x: 0.9993734451020997, y: 0.8059612716492021
x: 0.9991647987633681, y: 0.8079464089579336
x: 0.9989562550715874, y: 0.8099305696461638
x: 0.9987478140267576, y: 0.8119137537138928
x: 0.9985394756288788, y: 0.8138959611611206
x: 0.9983312398779509, y: 0.8158771919878471
x: 0.998123106773974, y: 0.8178574461940724
x: 0.997915076316948, y: 0.8198367237797964
x: 0.9977071485068729, y: 0.8218150247450192
x: 0.9974993233437488, y: 0.8237923490897407
x: 0.9972916008275756, y: 0.825768696813961
x: 0.9970839809583533, y: 0.8277440679176801
x: 0.9968764637360819, y: 0.8297184624008979
x: 0.9966690491607614, y: 0.8316918802636144
x: 0.9964617372323918, y: 0.8336643215058297
x: 0.9962545279509732, y: 0.8356357861275437
x: 0.9960474213165056, y: 0.8376062741287565
x: 0.9958404173289889, y: 0.8395757855094681
x: 0.9956335159884231, y: 0.8415443202696784
x: 0.9954267172948082, y: 0.8435118784093875
x: 0.9952200212481443, y: 0.8454784599285953
x: 0.9950134278484314, y: 0.8474440648273018
x: 0.9948069370956693, y: 0.849408693105507
x: 0.9946005489898581, y: 0.851372344763211
x: 0.9943942635309978, y: 0.8533350198004137
x: 0.9941880807190885, y: 0.8552967182171152
x: 0.9939820005541301, y: 0.8572574400133154
x: 0.9937760230361227, y: 0.8592171851890144
x: 0.9935701481650662, y: 0.8611759537442121
x: 0.9933643759409606, y: 0.8631337456789085
x: 0.993158706363806, y: 0.8650905609931038
x: 0.9929531394336023, y: 0.8670463996867978
x: 0.9927476751503496, y: 0.8690012617599905
x: 0.9925423135140476, y: 0.870955147212682
x: 0.9923370545246967, y: 0.8729080560448722
x: 0.9921318981822966, y: 0.8748599882565612
x: 0.9919268444868475, y: 0.8768109438477489
x: 0.9917218934383494, y: 0.8787609228184354
x: 0.9915170450368022, y: 0.8807099251686207
x: 0.9913122992822059, y: 0.8826579508983047
x: 0.9911076561745605, y: 0.8846050000074874
x: 0.9909031157138661, y: 0.8865510724961689
x: 0.9906986779001227, y: 0.8884961683643492
x: 0.99049434273333, y: 0.8904402876120282
x: 0.9902901102134883, y: 0.892383430239206
x: 0.9900859803405976, y: 0.8943255962458825
x: 0.9898819531146578, y: 0.8962667856320577
x: 0.9896780285356689, y: 0.8982069983977318
x: 0.989474206603631, y: 0.9001462345429044
x: 0.989270487318544, y: 0.9020844940675758
x: 0.9890668706804079, y: 0.904021776971746
x: 0.9888633566892228, y: 0.9059580832554149
x: 0.9886599453449886, y: 0.9078934129185826
x: 0.9884566366477053, y: 0.909827765961249
x: 0.9882534305973729, y: 0.9117611423834142
x: 0.9880503271939914, y: 0.9136935421850781
x: 0.9878473264375609, y: 0.9156249653662408
x: 0.9876444283280813, y: 0.9175554119269023
x: 0.9874416328655526, y: 0.9194848818670625
x: 0.9872389400499749, y: 0.9214133751867214
x: 0.9870363498813481, y: 0.9233408918858791
x: 0.9868338623596723, y: 0.9252674319645355
x: 0.9866314774849474, y: 0.9271929954226907
x: 0.9864291952571734, y: 0.9291175822603447
x: 0.9862270156763504, y: 0.9310411924774974
x: 0.9860249387424782, y: 0.9329638260741488
x: 0.985822964455557, y: 0.9348854830502991
x: 0.9856210928155866, y: 0.936806163405948
x: 0.9854193238225673, y: 0.9387258671410957
x: 0.9852176574764988, y: 0.9406445942557422
x: 0.9850160937773813, y: 0.9425623447498874
x: 0.9848146327252147, y: 0.9444791186235314
x: 0.9846132743199991, y: 0.9463949158766741
x: 0.9844120185617344, y: 0.9483097365093156
x: 0.9842108654504207, y: 0.9502235805214557
x: 0.9840098149860579, y: 0.9521364479130946
x: 0.9838088671686459, y: 0.9540483386842322
x: 0.9836080219981849, y: 0.9559592528348686
x: 0.9834072794746748, y: 0.9578691903650037
x: 0.9832066395981156, y: 0.9597781512746376
x: 0.9830061023685074, y: 0.9616861355637703
x: 0.9828056677858501, y: 0.9635931432324016
x: 0.9826053358501438, y: 0.9654991742805318
x: 0.9824051065613884, y: 0.9674042287081607
x: 0.9822049799195839, y: 0.9693083065152883
x: 0.9820049559247304, y: 0.9712114077019147
x: 0.9818050345768278, y: 0.9731135322680399
x: 0.981605215875876, y: 0.9750146802136638
x: 0.9814054998218752, y: 0.9769148515387864
x: 0.9812058864148253, y: 0.9788140462434078
x: 0.9810063756547264, y: 0.980712264327528
x: 0.9808069675415784, y: 0.9826095057911469
x: 0.9806076620753813, y: 0.9845057706342646
x: 0.9804084592561352, y: 0.986401058856881
x: 0.98020935908384, y: 0.9882953704589962
x: 0.9800103615584957, y: 0.9901887054406101
x: 0.9798114666801024, y: 0.9920810638017228
x: 0.9796126744486601, y: 0.9939724455423342
x: 0.9794139848641685, y: 0.9958628506624444
x: 0.9792153979266279, y: 0.9977522791620533
x: 0.9790169136360383, y: 0.999640731041161
x: 0.9788185319923995, y: 1.0015282062997675
x: 0.9786202529957118, y: 1.0034147049378725
x: 0.9784220766459749, y: 1.0053002269554765
x: 0.978224002943189, y: 1.007184772352579
x: 0.978026031887354, y: 1.0090683411291805
x: 0.97782816347847, y: 1.0109509332852806
x: 0.9776303977165369, y: 1.0128325488208796
x: 0.9774327346015547, y: 1.0147131877359772
x: 0.9772351741335233, y: 1.0165928500305736
x: 0.977037716312443, y: 1.0184715357046688
x: 0.9768403611383135, y: 1.0203492447582627
x: 0.976643108611135, y: 1.0222259771913553
x: 0.9764459587309074, y: 1.0241017330039468
x: 0.9762489114976308, y: 1.025976512196037
x: 0.9760519669113051, y: 1.0278503147676257
x: 0.9758551249719304, y: 1.0297231407187133
x: 0.9756583856795066, y: 1.0315949900492996
x: 0.9754617490340337, y: 1.0334658627593847
x: 0.9752652150355117, y: 1.0353357588489684
x: 0.9750687836839406, y: 1.037204678318051
x: 0.9748724549793204, y: 1.0390726211666323
x: 0.9746762289216512, y: 1.0409395873947125
x: 0.9744801055109329, y: 1.0428055770022913
x: 0.9742840847471655, y: 1.044670589989369
x: 0.9740881666303491, y: 1.0465346263559452
x: 0.9738923511604837, y: 1.0483976861020203
x: 0.9736966383375691, y: 1.0502597692275941
x: 0.9735010281616056, y: 1.0521208757326668
x: 0.9733055206325929, y: 1.053981005617238
x: 0.9731101157505311, y: 1.0558401588813082
x: 0.9729148135154202, y: 1.057698335524877
x: 0.9727196139272603, y: 1.0595555355479447
x: 0.9725245169860512, y: 1.061411758950511
x: 0.9723295226917932, y: 1.0632670057325762
x: 0.972134631044486, y: 1.06512127589414
x: 0.9719398420441299, y: 1.0669745694352026
x: 0.9717451556907246, y: 1.068826886355764
x: 0.9715505719842703, y: 1.0706782266558241
x: 0.9713560909247669, y: 1.072528590335383
x: 0.9711617125122145, y: 1.0743779773944404
x: 0.9709674367466129, y: 1.0762263878329967
x: 0.9707732636279622, y: 1.0780738216510517
x: 0.9705791931562625, y: 1.0799202788486055
x: 0.9703852253315137, y: 1.081765759425658
x: 0.9701913601537159, y: 1.0836102633822093
x: 0.969997597622869, y: 1.0854537907182593
x: 0.969803937738973, y: 1.0872963414338082
x: 0.969610380502028, y: 1.0891379155288556
x: 0.9694169259120339, y: 1.090978513003402
x: 0.9692235739689907, y: 1.092818133857447
x: 0.9690303246728985, y: 1.0946567780909908
x: 0.9688371780237571, y: 1.0964944457040333
x: 0.9686441340215667, y: 1.0983311366965747
x: 0.9684511926663272, y: 1.1001668510686147
x: 0.9682583539580386, y: 1.1020015888201535
x: 0.968065617896701, y: 1.103835349951191
x: 0.9678729844823143, y: 1.1056681344617274
x: 0.9676804537148785, y: 1.1074999423517624
x: 0.9674880255943937, y: 1.1093307736212963
x: 0.9672957001208599, y: 1.1111606282703288
x: 0.9671034772942769, y: 1.1129895062988602
x: 0.9669113571146449, y: 1.1148174077068902
x: 0.9667193395819638, y: 1.116644332494419
x: 0.9665274246962335, y: 1.1184702806614466
x: 0.9663356124574543, y: 1.120295252207973
x: 0.9661439028656259, y: 1.122119247133998
x: 0.9659522959207485, y: 1.1239422654395217
x: 0.965760791622822, y: 1.1257643071245442
x: 0.9655693899718465, y: 1.1275853721890654
x: 0.9653780909678219, y: 1.1294054606330854
x: 0.9651868946107482, y: 1.1312245724566041
x: 0.9649958009006255, y: 1.1330427076596217
x: 0.9648048098374538, y: 1.1348598662421379
x: 0.9646139214212328, y: 1.136676048204153
x: 0.9644231356519628, y: 1.1384912535456666
x: 0.9642324525296437, y: 1.1403054822666792
x: 0.9640418720542756, y: 1.1421187343671904
x: 0.9638513942258584, y: 1.1439310098472004
x: 0.9636610190443922, y: 1.1457423087067091
x: 0.9634707465098769, y: 1.1475526309457167
x: 0.9632805766223125, y: 1.149361976564223
x: 0.963090509381699, y: 1.151170345562228
x: 0.9629005447880365, y: 1.1529777379397317
x: 0.9627106828413249, y: 1.1547841536967343
x: 0.9625209235415642, y: 1.1565895928332355
x: 0.9623312668887544, y: 1.1583940553492356
x: 0.9621417128828955, y: 1.1601975412447343
x: 0.9619522615239876, y: 1.1620000505197319
x: 0.9617629128120306, y: 1.163801583174228
x: 0.9615736667470246, y: 1.1656021392082232
x: 0.9613845233289695, y: 1.167401718621717
x: 0.9611954825578654, y: 1.1692003214147095
x: 0.9610065444337121, y: 1.1709979475872008
x: 0.9608177089565099, y: 1.1727945971391907
x: 0.9606289761262584, y: 1.1745902700706794
x: 0.9604403459429579, y: 1.1763849663816668
x: 0.9602518184066083, y: 1.178178686072153
x: 0.9600633935172097, y: 1.179971429142138
x: 0.959875071274762, y: 1.1817631955916217
x: 0.9596868516792653, y: 1.183553985420604
x: 0.9594987347307194, y: 1.1853437986290853
x: 0.9593107204291246, y: 1.1871326352170652
x: 0.9591228087744806, y: 1.188920495184544
x: 0.9589349997667876, y: 1.1907073785315214
x: 0.9587472934060456, y: 1.1924932852579977
x: 0.9585596896922544, y: 1.1942782153639726
x: 0.9583721886254141, y: 1.1960621688494464
x: 0.9581847902055247, y: 1.1978451457144188
x: 0.9579974944325863, y: 1.19962714595889
x: 0.9578103013065988, y: 1.20140816958286
x: 0.9576232108275623, y: 1.2031882165863288
x: 0.9574362229954767, y: 1.2049672869692962
x: 0.957249337810342, y: 1.2067453807317625
x: 0.9570625552721583, y: 1.2085224978737275
x: 0.9568758753809256, y: 1.2102986383951913
x: 0.9566892981366437, y: 1.2120738022961537
x: 0.9565028235393127, y: 1.213847989576615
x: 0.9563164515889326, y: 1.215621200236575
