x: 1, y: 0.8
x: 0.9980004027947309, y: 0.8000349030990483
x: 0.9960009037745055, y: 0.8000698044842703
x: 0.9940015029393237, y: 0.8001047041556659
x: 0.9920022002891855, y: 0.8001396021132352
x: 0.990002995824091, y: 0.8001744983569782
x: 0.9880038895440402, y: 0.8002093928868949
x: 0.9860048814490331, y: 0.8002442857029852
x: 0.9840059715390697, y: 0.8002791768052493
x: 0.9820071598141499, y: 0.8003140661936871
x: 0.9800084462742737, y: 0.8003489538682985
x: 0.9780098309194413, y: 0.8003838398290837
x: 0.9760113137496524, y: 0.8004187240760425
x: 0.9740128947649073, y: 0.8004536066091751
x: 0.9720145739652057, y: 0.8004884874284813
x: 0.970016351350548, y: 0.8005233665339612
x: 0.9680182269209339, y: 0.8005582439256147
x: 0.9660202006763634, y: 0.8005931196034419
x: 0.9640222726168366, y: 0.8006279935674429
x: 0.9620244427423534, y: 0.8006628658176175
x: 0.9600267110529139, y: 0.8006977363539658
x: 0.9580290775485181, y: 0.8007326051764878
x: 0.9560315422291659, y: 0.8007674722851835
x: 0.9540341050948573, y: 0.8008023376800529
x: 0.9520367661455925, y: 0.800837201361096
x: 0.9500395253813714, y: 0.8008720633283128
x: 0.9480423828021939, y: 0.8009069235817033
x: 0.94604533840806, y: 0.8009417821212674
x: 0.9440483921989699, y: 0.8009766389470052
x: 0.9420515441749233, y: 0.8010114940589167
x: 0.9400547943359204, y: 0.8010463474570019
x: 0.9380581426819612, y: 0.8010811991412607
x: 0.9360615892130457, y: 0.8011160491116933
x: 0.9340651339291739, y: 0.8011508973682996
x: 0.9320687768303457, y: 0.8011857439110796
x: 0.9300725179165612, y: 0.8012205887400332
x: 0.9280763571878203, y: 0.8012554318551606
x: 0.9260802946441231, y: 0.8012902732564616
x: 0.9240843302854695, y: 0.8013251129439364
x: 0.9220884641118596, y: 0.8013599509175847
x: 0.9200926961232935, y: 0.8013947871774068
x: 0.918097026319771, y: 0.8014296217234025
x: 0.9161014547012921, y: 0.8014644545555719
x: 0.9141059812678569, y: 0.801499285673915
x: 0.9121106060194654, y: 0.8015341150784319
x: 0.9101153289561175, y: 0.8015689427691224
x: 0.9081201500778132, y: 0.8016037687459866
x: 0.9061250693845526, y: 0.8016385930090245
x: 0.9041300868763357, y: 0.8016734155582361
x: 0.9021352025531625, y: 0.8017082363936214
x: 0.900140416415033, y: 0.8017430555151804
x: 0.8981457284619471, y: 0.8017778729229131
x: 0.8961511386939048, y: 0.8018126886168194
x: 0.8941566471109063, y: 0.8018475025968994
x: 0.8921622537129513, y: 0.8018823148631531
x: 0.89016795850004, y: 0.8019171254155805
x: 0.8881737614721724, y: 0.8019519342541815
x: 0.8861796626293486, y: 0.8019867413789563
x: 0.8841856619715683, y: 0.8020215467899048
x: 0.8821917594988318, y: 0.802056350487027
x: 0.8801979552111389, y: 0.8020911524703228
x: 0.8782042491084896, y: 0.8021259527397924
x: 0.876210641190884, y: 0.8021607512954356
x: 0.874217131458322, y: 0.8021955481372526
x: 0.8722237199108037, y: 0.8022303432652431
x: 0.8702304065483292, y: 0.8022651366794074
x: 0.8682371913708983, y: 0.8022999283797453
x: 0.866244074378511, y: 0.8023347183662569
x: 0.8642510555711674, y: 0.8023695066389422
x: 0.8622581349488675, y: 0.8024042931978013
x: 0.8602653125116112, y: 0.802439078042834
x: 0.8582725882593986, y: 0.8024738611740404
x: 0.8562799621922296, y: 0.8025086425914205
x: 0.8542874343101042, y: 0.8025434222949743
x: 0.8522950046130227, y: 0.8025782002847018
x: 0.8503026731009847, y: 0.802612976560603
x: 0.8483104397739905, y: 0.8026477511226778
x: 0.8463183046320398, y: 0.8026825239709263
x: 0.8443262676751329, y: 0.8027172951053485
x: 0.8423343289032695, y: 0.8027520645259444
x: 0.8403424883164499, y: 0.802786832232714
x: 0.8383507459146738, y: 0.8028215982256572
x: 0.8363591016979416, y: 0.8028563625047742
x: 0.834367555666253, y: 0.8028911250700649
x: 0.832376107819608, y: 0.8029258859215292
x: 0.8303847581580067, y: 0.8029606450591673
x: 0.8283935066814491, y: 0.8029954024829791
x: 0.8264023533899351, y: 0.8030301581929645
x: 0.8244112982834647, y: 0.8030649121891237
x: 0.822420341362038, y: 0.8030996644714564
x: 0.8204294826256551, y: 0.8031344150399629
x: 0.8184387220743158, y: 0.803169163894643
x: 0.8164480597080201, y: 0.8032039110354968
x: 0.8144574955267682, y: 0.8032386564625243
x: 0.8124670295305598, y: 0.8032734001757256
x: 0.8104766617193951, y: 0.8033081421751005
x: 0.8084863920932741, y: 0.8033428824606491
x: 0.8064962206521967, y: 0.8033776210323714
x: 0.804506147396163, y: 0.8034123578902674
x: 0.802516172325173, y: 0.8034470930343371
x: 0.8005262954392267, y: 0.8034818264645806
x: 0.798536516738324, y: 0.8035165581809975
x: 0.796546836222465, y: 0.8035512881835882
x: 0.7945572538916497, y: 0.8035860164723526
x: 0.792567769745878, y: 0.8036207430472907
x: 0.7905783837851499, y: 0.8036554679084025
x: 0.7885890960094655, y: 0.803690191055688
x: 0.7865999064188248, y: 0.8037249124891471
x: 0.7846108150132278, y: 0.80375963220878
x: 0.7826218217926745, y: 0.8037943502145866
x: 0.7806329267571648, y: 0.8038290665065668
x: 0.7786441299066987, y: 0.8038637810847208
x: 0.7766554312412763, y: 0.8038984939490484
x: 0.7746668307608976, y: 0.8039332050995497
x: 0.7726783284655625, y: 0.8039679145362246
x: 0.7706899243552712, y: 0.8040026222590733
x: 0.7687016184300235, y: 0.8040373282680956
x: 0.7667134106898195, y: 0.8040720325632916
x: 0.7647253011346591, y: 0.8041067351446614
x: 0.7627372897645424, y: 0.8041414360122048
x: 0.7607493765794693, y: 0.8041761351659219
x: 0.7587615615794399, y: 0.8042108326058127
x: 0.7567738447644541, y: 0.8042455283318772
x: 0.754786226134512, y: 0.8042802223441154
x: 0.7527987056896136, y: 0.8043149146425274
x: 0.7508112834297589, y: 0.8043496052271129
x: 0.7488239593549478, y: 0.804384294097872
x: 0.7468367334651804, y: 0.8044189812548049
x: 0.7448496057604567, y: 0.8044536666979115
x: 0.7428625762407766, y: 0.8044883504271918
x: 0.7408756449061401, y: 0.8045230324426458
x: 0.7388888117565473, y: 0.8045577127442735
x: 0.7369020767919983, y: 0.8045923913320748
x: 0.7349154400124929, y: 0.8046270682060499
x: 0.7329289014180311, y: 0.8046617433661987
x: 0.730942461008613, y: 0.8046964168125211
x: 0.7289561187842386, y: 0.8047310885450173
x: 0.7269698747449078, y: 0.8047657585636872
x: 0.7249837288906207, y: 0.8048004268685306
x: 0.7229976812213772, y: 0.8048350934595477
x: 0.7210117317371775, y: 0.8048697583367386
x: 0.7190258804380214, y: 0.8049044215001031
x: 0.717040127323909, y: 0.8049390829496413
x: 0.7150544723948402, y: 0.8049737426853533
x: 0.7130689156508151, y: 0.8050084007072389
x: 0.7110834570918336, y: 0.8050430570152982
x: 0.7090980967178958, y: 0.8050777116095312
x: 0.7071128345290016, y: 0.805112364489938
x: 0.7051276705251511, y: 0.8051470156565184
x: 0.7031426047063444, y: 0.8051816651092725
x: 0.7011576370725813, y: 0.8052163128482002
x: 0.6991727676238618, y: 0.8052509588733016
x: 0.697187996360186, y: 0.8052856031845766
x: 0.6952033232815539, y: 0.8053202457820254
x: 0.6932187483879654, y: 0.8053548866656479
x: 0.6912342716794205, y: 0.8053895258354441
x: 0.6892498931559193, y: 0.805424163291414
x: 0.6872656128174619, y: 0.8054587990335575
x: 0.6852814306640481, y: 0.8054934330618748
x: 0.683297346695678, y: 0.8055280653763658
x: 0.6813133609123515, y: 0.8055626959770305
x: 0.6793294733140687, y: 0.8055973248638688
x: 0.6773456839008295, y: 0.8056319520368808
x: 0.675361992672634, y: 0.8056665774960664
x: 0.6733783996294821, y: 0.8057012012414257
x: 0.671394904771374, y: 0.8057358232729588
x: 0.6694115080983095, y: 0.8057704435906655
x: 0.6674282096102887, y: 0.805805062194546
x: 0.6654450093073115, y: 0.8058396790846001
x: 0.663461907189378, y: 0.8058742942608279
x: 0.6614789032564882, y: 0.8059089077232294
x: 0.659495997508642, y: 0.8059435194718046
x: 0.6575131899458394, y: 0.8059781295065536
x: 0.6555304805680805, y: 0.8060127378274762
x: 0.6535478693753654, y: 0.8060473444345724
x: 0.6515653563676939, y: 0.8060819493278423
x: 0.649582941545066, y: 0.8061165525072859
x: 0.6476006249074818, y: 0.8061511539729032
x: 0.6456184064549413, y: 0.8061857537246941
x: 0.6436362861874444, y: 0.8062203517626588
x: 0.6416542641049912, y: 0.8062549480867972
x: 0.6396723402075816, y: 0.8062895426971093
x: 0.6376905144952157, y: 0.8063241355935951
x: 0.6357087869678936, y: 0.8063587267762545
x: 0.633727157625615, y: 0.8063933162450877
x: 0.6317456264683802, y: 0.8064279040000946
x: 0.629764193496189, y: 0.8064624900412751
x: 0.6277828587090414, y: 0.8064970743686293
x: 0.6258016221069375, y: 0.8065316569821571
x: 0.6238204836898772, y: 0.8065662378818587
x: 0.6218394434578607, y: 0.8066008170677339
x: 0.6198585014108878, y: 0.8066353945397828
x: 0.6178776575489586, y: 0.8066699702980055
x: 0.6158969118720731, y: 0.8067045443424018
x: 0.6139162643802312, y: 0.8067391166729718
x: 0.6119357150734329, y: 0.8067736872897155
x: 0.6099552639516783, y: 0.806808256192633
x: 0.6079749110149674, y: 0.8068428233817241
x: 0.6059946562633001, y: 0.8068773888569889
x: 0.6040144996966765, y: 0.8069119526184273
x: 0.6020344413150966, y: 0.8069465146660394
x: 0.6000544811185604, y: 0.8069810749998252
x: 0.5980746191070678, y: 0.8070156336197847
x: 0.5960948552806189, y: 0.8070501905259179
x: 0.5941151896392136, y: 0.8070847457182247
x: 0.592135622182852, y: 0.8071192991967053
x: 0.590156152911534, y: 0.8071538509613596
x: 0.5881767818252598, y: 0.8071884010121876
x: 0.5861975089240292, y: 0.8072229493491893
x: 0.5842183342078423, y: 0.8072574959723646
x: 0.582239257676699, y: 0.8072920408817137
x: 0.5802602793305994, y: 0.8073265840772363
x: 0.5782813991695435, y: 0.8073611255589327
x: 0.5763026171935312, y: 0.8073956653268027
x: 0.5743239334025625, y: 0.8074302033808465
x: 0.5723453477966376, y: 0.8074647397210639
x: 0.5703668603757563, y: 0.807499274347455
x: 0.5683884711399187, y: 0.8075338072600199
x: 0.5664101800891248, y: 0.8075683384587584
x: 0.5644319872233745, y: 0.8076028679436706
x: 0.5624538925426679, y: 0.8076373957147566
x: 0.5604758960470049, y: 0.8076719217720162
x: 0.5584979977363855, y: 0.8077064461154495
x: 0.5565201976108098, y: 0.8077409687450564
x: 0.5545424956702779, y: 0.807775489660837
x: 0.5525648919147896, y: 0.8078100088627913
x: 0.550587386344345, y: 0.8078445263509193
x: 0.548609978958944, y: 0.807879042125221
x: 0.5466326697585867, y: 0.8079135561856964
x: 0.544655458743273, y: 0.8079480685323455
x: 0.542678345913003, y: 0.8079825791651682
x: 0.5407013312677766, y: 0.8080170880841647
x: 0.538724414807594, y: 0.8080515952893349
x: 0.5367475965324551, y: 0.8080861007806788
x: 0.5347708764423598, y: 0.8081206045581963
x: 0.5327942545373081, y: 0.8081551066218876
x: 0.5308177308173001, y: 0.8081896069717525
x: 0.5288413052823357, y: 0.808224105607791
x: 0.526864977932415, y: 0.8082586025300033
x: 0.524888748767538, y: 0.8082930977383892
x: 0.5229126177877047, y: 0.8083275912329488
x: 0.5209365849929151, y: 0.8083620830136822
x: 0.5189606503831691, y: 0.8083965730805892
x: 0.5169848139584667, y: 0.8084310614336699
x: 0.515009075718808, y: 0.8084655480729244
x: 0.513033435664193, y: 0.8085000329983525
x: 0.5110578937946216, y: 0.8085345162099543
x: 0.5090824501100939, y: 0.8085689977077298
x: 0.5071071046106098, y: 0.8086034774916789
x: 0.5051318572961695, y: 0.8086379555618017
x: 0.5031567081667728, y: 0.8086724319180982
x: 0.5011816572224198, y: 0.8087069065605684
x: 0.49920670446311044, y: 0.8087413794892123
x: 0.4972318498888447, y: 0.8087758507040299
x: 0.49525709349962266, y: 0.8088103202050212
x: 0.4932824352954443, y: 0.8088447879921862
x: 0.4913078752763096, y: 0.8088792540655249
x: 0.48933341344221853, y: 0.8089137184250372
x: 0.48735904979317113, y: 0.8089481810707233
x: 0.48538478432916743, y: 0.8089826420025831
x: 0.4834106170502074, y: 0.8090171012206164
x: 0.481436547956291, y: 0.8090515587248235
x: 0.47946257704741824, y: 0.8090860145152042
x: 0.4774887043235892, y: 0.8091204685917587
x: 0.4755149297848038, y: 0.8091549209544868
x: 0.47354125343106207, y: 0.8091893716033887
x: 0.471567675262364, y: 0.8092238205384642
x: 0.46959419527870955, y: 0.8092582677597134
x: 0.4676208134800988, y: 0.8092927132671364
x: 0.46564752986653174, y: 0.809327157060733
x: 0.4636743444380083, y: 0.8093615991405033
x: 0.46170125719452854, y: 0.8093960395064473
x: 0.45972826813609247, y: 0.8094304781585651
x: 0.45775537726270005, y: 0.8094649150968564
x: 0.4557825845743513, y: 0.8094993503213214
x: 0.45380989007104616, y: 0.8095337838319601
x: 0.45183729375278475, y: 0.8095682156287725
x: 0.449864795619567, y: 0.8096026457117586
x: 0.4478923956713929, y: 0.8096370740809183
x: 0.4459200939082624, y: 0.8096715007362518
x: 0.4439478903301757, y: 0.809705925677759
x: 0.4419757849371326, y: 0.8097403489054399
x: 0.4400037777291331, y: 0.8097747704192945
x: 0.43803186870617733, y: 0.8098091902193227
x: 0.43606005786826524, y: 0.8098436083055247
