x: 1, y: 0.8
x: 1.0009999509, y: 0.8017319657638743
x: 1.0019998527, y: 0.8034638464840539
x: 1.0029997054, y: 0.8051956421605388
x: 1.003999509, y: 0.8069273527933292
x: 1.0049992635, y: 0.8086589783824247
x: 1.0059989689, y: 0.8103905189278257
x: 1.0069986252, y: 0.8121219744295319
x: 1.0079982324, y: 0.8138533448875436
x: 1.0089977905, y: 0.8155846303018606
x: 1.0099972995, y: 0.8173158306724829
x: 1.0109967594, y: 0.8190469459994106
x: 1.0119961702, y: 0.8207779762826437
x: 1.0129955319, y: 0.8225089215221821
x: 1.0139948445, y: 0.8242397817180259
x: 1.014994108, y: 0.8259705568701751
x: 1.0159933224, y: 0.8277012469786296
x: 1.0169924877, y: 0.8294318520433893
x: 1.0179916039, y: 0.8311623720644544
x: 1.018990671, y: 0.8328928070418249
x: 1.019989689, y: 0.8346231569755007
x: 1.0209886579, y: 0.8363534218654819
x: 1.0219875777, y: 0.8380836017117684
x: 1.0229864484, y: 0.8398136965143603
x: 1.02398527, y: 0.8415437062732576
x: 1.0249840425, y: 0.8432736309884602
x: 1.0259827659, y: 0.8450034706599682
x: 1.0269814402, y: 0.8467332252877815
x: 1.0279800654, y: 0.8484628948719002
x: 1.0289786415, y: 0.8501924794123241
x: 1.0299771684999999, y: 0.8519219789090534
x: 1.0309756464, y: 0.8536513933620881
x: 1.0319740752, y: 0.8553807227714281
x: 1.0329724549, y: 0.8571099671370734
x: 1.0339707855, y: 0.8588391264590242
x: 1.034969067, y: 0.8605682007372802
x: 1.0359672994, y: 0.8622971899718417
x: 1.0369654826999999, y: 0.8640260941627085
x: 1.0379636169, y: 0.8657549133098806
x: 1.038961702, y: 0.8674836474133581
x: 1.0399597379999999, y: 0.8692122964731409
x: 1.0409577249, y: 0.870940860489229
x: 1.0419556627, y: 0.8726693394616225
x: 1.0429535514, y: 0.8743977333903213
x: 1.043951391, y: 0.8761260422753255
x: 1.0449491815, y: 0.8778542661166351
x: 1.0459469229, y: 0.87958240491425
x: 1.0469446152, y: 0.8813104586681703
x: 1.0479422584, y: 0.8830384273783959
x: 1.0489398525, y: 0.8847663110449269
x: 1.0499373975, y: 0.8864941096677632
x: 1.0509348934, y: 0.8882218232469049
x: 1.0519323402, y: 0.8899494517823519
x: 1.0529297379, y: 0.8916769952741042
x: 1.0539270864999999, y: 0.8934044537221618
x: 1.054924386, y: 0.8951318271265248
x: 1.0559216364, y: 0.8968591154871932
x: 1.0569188376999998, y: 0.898586318804167
x: 1.0579159899, y: 0.900313437077446
x: 1.058913093, y: 0.9020404703070305
x: 1.0599101469999999, y: 0.9037674184929203
x: 1.0609071519, y: 0.9054942816351155
x: 1.0619041077, y: 0.907221059733616
x: 1.0629010144, y: 0.9089477527884219
x: 1.0638978719999999, y: 0.910674360799533
x: 1.0648946805, y: 0.9124008837669495
x: 1.0658914399, y: 0.9141273216906713
x: 1.0668881501999998, y: 0.9158536745706986
x: 1.0678848114, y: 0.9175799424070311
x: 1.0688814235, y: 0.919306125199669
x: 1.0698779864999999, y: 0.9210322229486123
x: 1.0708745004, y: 0.922758235653861
x: 1.0718709652, y: 0.9244841633154149
x: 1.0728673809, y: 0.9262100059332743
x: 1.0738637475, y: 0.927935763507439
x: 1.074860065, y: 0.929661436037909
x: 1.0758563334, y: 0.9313870235246843
x: 1.0768525527, y: 0.933112525967765
x: 1.0778487229, y: 0.934837943367151
x: 1.078844844, y: 0.9365632757228424
x: 1.079840916, y: 0.9382885230348391
x: 1.0808369388999999, y: 0.9400136853031412
x: 1.0818329127, y: 0.9417387625277487
x: 1.0828288374, y: 0.9434637547086615
x: 1.0838247129999998, y: 0.9451886618458797
x: 1.0848205395, y: 0.9469134839394032
x: 1.0858163169, y: 0.9486382209892321
x: 1.0868120451999999, y: 0.9503628729953663
x: 1.0878077244, y: 0.9520874399578058
x: 1.0888033545, y: 0.9538119218765506
x: 1.0897989355, y: 0.9555363187516008
x: 1.0907944673999999, y: 0.9572606305829564
x: 1.0917899502, y: 0.9589848573706173
x: 1.0927853839, y: 0.9607089991145836
x: 1.0937807684999998, y: 0.9624330558148553
x: 1.094776104, y: 0.9641570274714323
x: 1.0957713904, y: 0.9658809140843146
x: 1.0967666276999999, y: 0.9676047156535024
x: 1.0977618159, y: 0.9693284321789953
x: 1.098756955, y: 0.9710520636607937
x: 1.099752045, y: 0.9727756100988973
x: 1.1007470859, y: 0.9744990714933064
x: 1.1017420777, y: 0.9762224478440208
x: 1.1027370204, y: 0.9779457391510405
x: 1.103731914, y: 0.9796689454143657
x: 1.1047267585, y: 0.9813920666339961
x: 1.1057215539, y: 0.983115102809932
x: 1.1067163002, y: 0.9848380539421732
x: 1.1077109974, y: 0.9865609200307197
x: 1.1087056455, y: 0.9882837010755716
x: 1.1097002445, y: 0.9900063970767288
x: 1.1106947943999999, y: 0.9917290080341913
x: 1.1116892952, y: 0.9934515339479592
x: 1.1126837469, y: 0.9951739748180324
x: 1.1136781494999999, y: 0.996896330644411
x: 1.114672503, y: 0.9986186014270949
x: 1.1156668074, y: 1.000340787166084
x: 1.1166610627, y: 1.0020628878613786
x: 1.1176552688999999, y: 1.0037849035129787
x: 1.118649426, y: 1.005506834120884
x: 1.119643534, y: 1.0072286796850947
x: 1.1206375928999999, y: 1.0089504402056106
x: 1.1216316027, y: 1.010672115682432
x: 1.1226255634, y: 1.0123937061155588
x: 1.123619475, y: 1.014115211504991
x: 1.1246133374999998, y: 1.0158366318507284
x: 1.1256071508999999, y: 1.0175579671527712
x: 1.1266009151999998, y: 1.0192792174111194
x: 1.1275946303999997, y: 1.0210003826257728
x: 1.1285882964999998, y: 1.0227214627967316
x: 1.1295819134999998, y: 1.0244424579239957
x: 1.1305754813999997, y: 1.0261633680075652
x: 1.1315690001999998, y: 1.02788419304744
x: 1.1325624698999999, y: 1.0296049330436203
x: 1.1335558904999998, y: 1.0313255879961059
x: 1.1345492619999997, y: 1.0330461579048968
x: 1.1355425843999998, y: 1.034766642769993
x: 1.1365358576999998, y: 1.0364870425913948
x: 1.1375290818999997, y: 1.0382073573691017
x: 1.1385222569999998, y: 1.039927587103114
x: 1.1395153829999998, y: 1.0416477317934316
x: 1.1405084598999997, y: 1.0433677914400545
x: 1.1415014876999998, y: 1.045087766042983
x: 1.1424944663999999, y: 1.0468076556022166
x: 1.1434873959999998, y: 1.0485274601177557
x: 1.1444802764999997, y: 1.0502471795896
x: 1.1454731078999998, y: 1.0519668140177498
x: 1.1464658901999998, y: 1.053686363402205
x: 1.1474586233999997, y: 1.0554058277429654
x: 1.1484513074999998, y: 1.0571252070400312
x: 1.1494439424999998, y: 1.0588445012934025
x: 1.1504365283999998, y: 1.060563710503079
x: 1.1514290651999997, y: 1.0622828346690607
x: 1.1524215528999997, y: 1.064001873791348
x: 1.1534139914999997, y: 1.0657208278699404
x: 1.1544063809999996, y: 1.0674396969048383
x: 1.1553987213999997, y: 1.0691584808960415
x: 1.1563910126999997, y: 1.0708771798435501
x: 1.1573832548999996, y: 1.072595793747364
x: 1.1583754479999997, y: 1.0743143226074834
x: 1.1593675919999997, y: 1.076032766423908
x: 1.1603596868999997, y: 1.077751125196638
x: 1.1613517326999996, y: 1.0794693989256734
x: 1.1623437293999996, y: 1.081187587611014
x: 1.1633356769999996, y: 1.08290569125266
x: 1.1643275754999995, y: 1.0846237098506113
x: 1.1653194248999996, y: 1.086341643404868
x: 1.1663112251999996, y: 1.08805949191543
x: 1.1673029763999996, y: 1.0897772553822975
x: 1.1682946784999997, y: 1.0914949338054702
x: 1.1692863314999997, y: 1.0932125271849484
x: 1.1702779353999997, y: 1.0949300355207319
x: 1.1712694901999996, y: 1.0966474588128208
x: 1.1722609958999997, y: 1.098364797061215
x: 1.1732524524999997, y: 1.1000820502659143
x: 1.1742438599999996, y: 1.1017992184269192
x: 1.1752352183999997, y: 1.1035163015442293
x: 1.1762265276999997, y: 1.1052332996178449
x: 1.1772177878999996, y: 1.1069502126477657
x: 1.1782089989999995, y: 1.108667040633992
x: 1.1792001609999996, y: 1.1103837835765236
x: 1.1801912738999996, y: 1.1121004414753606
x: 1.1811823376999995, y: 1.1138170143305028
x: 1.1821733523999995, y: 1.1155335021419506
x: 1.1831643179999995, y: 1.1172499049097036
x: 1.1841552344999995, y: 1.118966222633762
x: 1.1851461018999996, y: 1.1206824553141257
x: 1.1861369201999996, y: 1.1223986029507946
x: 1.1871276893999996, y: 1.124114665543769
x: 1.1881184094999995, y: 1.1258306430930487
x: 1.1891090804999995, y: 1.1275465355986338
x: 1.1900997023999995, y: 1.1292623430605242
x: 1.1910902751999994, y: 1.13097806547872
x: 1.1920807988999995, y: 1.1326937028532211
x: 1.1930712734999995, y: 1.1344092551840277
x: 1.1940616989999995, y: 1.1361247224711395
x: 1.1950520753999996, y: 1.1378401047145568
x: 1.1960424026999996, y: 1.1395554019142793
x: 1.1970326808999996, y: 1.141270614070307
x: 1.1980229099999995, y: 1.1429857411826403
x: 1.1990130899999996, y: 1.1447007832512788
x: 1.2000032208999996, y: 1.1464157402762227
x: 1.2009933026999995, y: 1.148130612257472
x: 1.2019833353999996, y: 1.1498453991950266
x: 1.2029733189999996, y: 1.1515601010888865
x: 1.2039632534999996, y: 1.153274717939052
x: 1.2049531388999994, y: 1.1549892497455225
x: 1.2059429751999995, y: 1.1567036965082986
x: 1.2069327623999995, y: 1.15841805822738
x: 1.2079225004999994, y: 1.1601323349027666
x: 1.2089121894999995, y: 1.1618465265344586
x: 1.2099018293999995, y: 1.163560633122456
x: 1.2108914201999994, y: 1.1652746546667587
x: 1.2118809618999995, y: 1.1669885911673668
x: 1.2128704544999995, y: 1.1687024426242802
x: 1.2138598979999995, y: 1.170416209037499
x: 1.2148492923999994, y: 1.1721298904070232
x: 1.2158386376999994, y: 1.1738434867328527
x: 1.2168279338999994, y: 1.1755569980149876
x: 1.2178171809999994, y: 1.1772704242534278
x: 1.2188063789999994, y: 1.1789837654481734
x: 1.2197955278999995, y: 1.1806970215992243
x: 1.2207846276999994, y: 1.1824101927065804
x: 1.2217736783999995, y: 1.184123278770242
x: 1.2227626799999995, y: 1.185836279790209
x: 1.2237516324999995, y: 1.1875491957664812
x: 1.2247405358999994, y: 1.1892620266990588
x: 1.2257293901999995, y: 1.1909747725879418
x: 1.2267181953999995, y: 1.19268743343313
x: 1.2277069514999994, y: 1.1944000092346239
x: 1.2286956584999995, y: 1.1961124999924229
x: 1.2296843163999995, y: 1.1978249057065273
x: 1.2306729251999995, y: 1.199537226376937
x: 1.2316614848999994, y: 1.201249462003652
x: 1.2326499954999994, y: 1.2029616125866724
x: 1.2336384569999994, y: 1.2046736781259981
x: 1.2346268693999993, y: 1.2063856586216293
x: 1.2356152326999994, y: 1.2080975540735657
x: 1.2366035468999994, y: 1.2098093644818075
x: 1.2375918119999993, y: 1.2115210898463546
x: 1.2385800279999994, y: 1.2132327301672072
x: 1.2395681948999995, y: 1.214944285444365
x: 1.2405563126999994, y: 1.2166557556778284
x: 1.2415443813999993, y: 1.218367140867597
x: 1.2425324009999994, y: 1.2200784410136707
x: 1.2435203714999994, y: 1.22178965611605
x: 1.2445082928999993, y: 1.2235007861747345
x: 1.2454961651999994, y: 1.2252118311897244
x: 1.2464839883999994, y: 1.2269227911610197
x: 1.2474717624999994, y: 1.2286336660886203
x: 1.2484594874999992, y: 1.2303444559725263
x: 1.2494471633999993, y: 1.2320551608127377
x: 1.2504347901999993, y: 1.2337657806092543
x: 1.2514223678999992, y: 1.2354763153620765
x: 1.2524098964999992, y: 1.2371867650712038
x: 1.2533973759999992, y: 1.2388971297366365
x: 1.2543848063999992, y: 1.2406074093583745
x: 1.2553721876999993, y: 1.2423176039364179
x: 1.2563595198999993, y: 1.2440277134707667
x: 1.2573468029999992, y: 1.2457377379614207
x: 1.2583340369999991, y: 1.2474476774083803
x: 1.2593212218999992, y: 1.249157531811645
x: 1.2603083576999992, y: 1.2508673011712153
x: 1.261295444399999, y: 1.2525769854870907
x: 1.2622824819999992, y: 1.2542865847592717
x: 1.2632694704999992, y: 1.2559960989877579
x: 1.264256409899999, y: 1.2577055281725495
x: 1.2652433001999992, y: 1.2594148723136465
x: 1.2662301413999992, y: 1.2611241314110486
x: 1.2672169334999992, y: 1.2628333054647563
x: 1.268203676499999, y: 1.2645423944747691
x: 1.2691903703999992, y: 1.2662513984410875
x: 1.2701770151999991, y: 1.267960317363711
x: 1.271163610899999, y: 1.2696691512426401
x: 1.2721501574999992, y: 1.2713779000778744
x: 1.2731366549999992, y: 1.2730865638694142
x: 1.2741231033999991, y: 1.2747951426172592
x: 1.275109502699999, y: 1.2765036363214097
x: 1.276095852899999, y: 1.2782120449818655
x: 1.277082153999999, y: 1.2799203685986265
x: 1.278068405999999, y: 1.281628607171693
x: 1.279054608899999, y: 1.2833367607010646
x: 1.280040762699999, y: 1.2850448291867418
x: 1.281026867399999, y: 1.2867528126287242
x: 1.282012922999999, y: 1.288460711027012
x: 1.282998929499999, y: 1.2901685243816052
x: 1.283984886899999, y: 1.2918762526925038
x: 1.284970795199999, y: 1.2935838959597077
x: 1.285956654399999, y: 1.295291454183217
x: 1.286942464499999, y: 1.2969989273630316
x: 1.2879282254999989, y: 1.2987063154991514
x: 1.288913937399999, y: 1.3004136185915767
x: 1.289899600199999, y: 1.3021208366403072
x: 1.2908852138999989, y: 1.3038279696453432
x: 1.291870778499999, y: 1.3055350176066844
x: 1.292856293999999, y: 1.3072419805243312
x: 1.293841760399999, y: 1.3089488583982831
x: 1.2948271776999989, y: 1.3106556512285406
x: 1.295812545899999, y: 1.3123623590151032
x: 1.296797864999999, y: 1.3140689817579714
x: 1.2977831349999989, y: 1.3157755194571448
x: 1.298768355899999, y: 1.3174819721126236
x: 1.299753527699999, y: 1.3191883397244077
x: 1.300738650399999, y: 1.320894622292497
x: 1.3017237239999988, y: 1.322600819816892
x: 1.3027087484999988, y: 1.324306932297592
x: 1.3036937238999988, y: 1.3260129597345975
x: 1.3046786501999987, y: 1.3277189021279083
x: 1.3056635273999988, y: 1.3294247594775246
x: 1.3066483554999988, y: 1.331130531783446
