x: 1, y: 0.8
x: 0.9983047365909176, y: 0.7989406818522511
x: 0.9966103059650656, y: 0.7978818840852197
x: 0.994916708122444, y: 0.7968236066989056
x: 0.9932239430630528, y: 0.7957658496933091
x: 0.9915320107868921, y: 0.7947086130684301
x: 0.9898409112939618, y: 0.7936518968242685
x: 0.9881506445842619, y: 0.7925957009608244
x: 0.9864612106577925, y: 0.7915400254780979
x: 0.9847726095145535, y: 0.7904848703760887
x: 0.9830848411545449, y: 0.7894302356547971
x: 0.9813979055777667, y: 0.788376121314223
x: 0.979711802784219, y: 0.7873225273543663
x: 0.9780265327739016, y: 0.7862694537752271
x: 0.9763420955468147, y: 0.7852169005768054
x: 0.9746584911029582, y: 0.7841648677591011
x: 0.9729757194423322, y: 0.7831133553221143
x: 0.9712937805649365, y: 0.782062363265845
x: 0.9696126744707714, y: 0.7810118915902932
x: 0.9679324011598366, y: 0.7799619402954588
x: 0.9662529606321323, y: 0.7789125093813419
x: 0.9645743528876584, y: 0.7778635988479425
x: 0.9628965779264149, y: 0.7768152086952607
x: 0.9612196357484019, y: 0.7757673389232962
x: 0.9595435263536192, y: 0.7747199895320492
x: 0.957868249742067, y: 0.7736731605215198
x: 0.9561938059137451, y: 0.7726268518917078
x: 0.9545201948686538, y: 0.7715810636426133
x: 0.9528474166067928, y: 0.7705357957742361
x: 0.9511754711281624, y: 0.7694910482865766
x: 0.9495043584327623, y: 0.7684468211796345
x: 0.9478340785205926, y: 0.7674031144534098
x: 0.9461646313916534, y: 0.7663599281079027
x: 0.9444960170459445, y: 0.765317262143113
x: 0.9428282354834662, y: 0.7642751165590408
x: 0.9411612867042182, y: 0.7632334913556861
x: 0.9394951707082007, y: 0.7621923865330489
x: 0.9378298874954135, y: 0.7611518020911291
x: 0.9361654370658569, y: 0.7601117380299268
x: 0.9345018194195306, y: 0.7590721943494421
x: 0.9328390345564348, y: 0.7580331710496747
x: 0.9311770824765694, y: 0.7569946681306249
x: 0.9295159631799345, y: 0.7559566855922925
x: 0.9278556766665299, y: 0.7549192234346775
x: 0.9261962229363557, y: 0.7538822816577802
x: 0.924537601989412, y: 0.7528458602616002
x: 0.9228798138256987, y: 0.7518099592461377
x: 0.9212228584452159, y: 0.7507745786113927
x: 0.9195667358479634, y: 0.7497397183573652
x: 0.9179114460339415, y: 0.7487053784840552
x: 0.9162569890031499, y: 0.7476715589914626
x: 0.9146033647555888, y: 0.7466382598795875
x: 0.9129505732912581, y: 0.74560548114843
x: 0.9112986146101577, y: 0.7445732227979898
x: 0.9096474887122878, y: 0.7435414848282671
x: 0.9079971955976484, y: 0.742510267239262
x: 0.9063477352662394, y: 0.7414795700309742
x: 0.9046991077180607, y: 0.740449393203404
x: 0.9030513129531126, y: 0.7394197367565513
x: 0.9014043509713948, y: 0.738390600690416
x: 0.8997582217729075, y: 0.7373619850049982
x: 0.8981129253576506, y: 0.7363338897002979
x: 0.8964684617256242, y: 0.735306314776315
x: 0.8948248308768282, y: 0.7342792602330497
x: 0.8931820328112625, y: 0.7332527260705018
x: 0.8915400675289273, y: 0.7322267122886714
x: 0.8898989350298225, y: 0.7312012188875585
x: 0.8882586353139482, y: 0.730176245867163
x: 0.8866191683813043, y: 0.729151793227485
x: 0.8849805342318908, y: 0.7281278609685246
x: 0.8833427328657077, y: 0.7271044490902815
x: 0.8817057642827552, y: 0.7260815575927559
x: 0.8800696284830329, y: 0.7250591864759479
x: 0.8784343254665411, y: 0.7240373357398573
x: 0.8767998552332797, y: 0.7230160053844842
x: 0.8751662177832488, y: 0.7219951954098286
x: 0.8735334131164483, y: 0.7209749058158904
x: 0.8719014412328782, y: 0.7199551366026697
x: 0.8702703021325385, y: 0.7189358877701665
x: 0.8686399958154293, y: 0.7179171593183807
x: 0.8670105222815505, y: 0.7168989512473125
x: 0.8653818815309021, y: 0.7158812635569617
x: 0.8637540735634842, y: 0.7148640962473284
x: 0.8621270983792967, y: 0.7138474493184126
x: 0.8605009559783395, y: 0.7128313227702142
x: 0.8588756463606129, y: 0.7118157166027334
x: 0.8572511695261166, y: 0.71080063081597
x: 0.8556275254748508, y: 0.7097860654099241
x: 0.8540047142068153, y: 0.7087720203845956
x: 0.8523827357220104, y: 0.7077584957399847
x: 0.8507615900204358, y: 0.7067454914760912
x: 0.8491412771020918, y: 0.7057330075929152
x: 0.847521796966978, y: 0.7047210440904567
x: 0.8459031496150947, y: 0.7037096009687156
x: 0.8442853350464419, y: 0.702698678227692
x: 0.8426683532610194, y: 0.7016882758673859
x: 0.8410522042588274, y: 0.7006783938877973
x: 0.8394368880398658, y: 0.6996690322889262
x: 0.8378224046041347, y: 0.6986601910707725
x: 0.836208753951634, y: 0.6976518702333363
x: 0.8345959360823637, y: 0.6966440697766176
x: 0.8329839509963238, y: 0.6956367897006164
x: 0.8313727986935144, y: 0.6946300300053326
x: 0.8297624791739354, y: 0.6936237906907663
x: 0.8281529924375868, y: 0.6926180717569175
x: 0.8265443384844686, y: 0.6916128732037862
x: 0.8249365173145808, y: 0.6906081950313723
x: 0.8233295289279235, y: 0.6896040372396759
x: 0.8217233733244966, y: 0.688600399828697
x: 0.8201180505043002, y: 0.6875972827984356
x: 0.8185135604673341, y: 0.6865946861488916
x: 0.8169099032135986, y: 0.6855926098800652
x: 0.8153070787430934, y: 0.6845910539919562
x: 0.8137050870558186, y: 0.6835900184845647
x: 0.8121039281517742, y: 0.6825895033578907
x: 0.8105036020309603, y: 0.6815895086119341
x: 0.8089041086933768, y: 0.6805900342466951
x: 0.8073054481390237, y: 0.6795910802621734
x: 0.8057076203679011, y: 0.6785926466583693
x: 0.8041106253800089, y: 0.6775947334352826
x: 0.8025144631753471, y: 0.6765973405929134
x: 0.8009191337539158, y: 0.6756004681312617
x: 0.7993246371157149, y: 0.6746041160503276
x: 0.7977309732607444, y: 0.6736082843501108
x: 0.7961381421890042, y: 0.6726129730306115
x: 0.7945461439004946, y: 0.6716181820918298
x: 0.7929549783952153, y: 0.6706239115337654
x: 0.7913646456731666, y: 0.6696301613564186
x: 0.7897751457343481, y: 0.6686369315597892
x: 0.7881864785787602, y: 0.6676442221438773
x: 0.7865986442064027, y: 0.6666520331086829
x: 0.7850116426172756, y: 0.665660364454206
x: 0.783425473811379, y: 0.6646692161804465
x: 0.7818401377887126, y: 0.6636785882874046
x: 0.7802556345492768, y: 0.66268848077508
x: 0.7786719640930714, y: 0.661698893643473
x: 0.7770891264200964, y: 0.6607098268925835
x: 0.7755071215303518, y: 0.6597212805224114
x: 0.7739259494238377, y: 0.6587332545329568
x: 0.772345610100554, y: 0.6577457489242198
x: 0.7707661035605008, y: 0.6567587636962001
x: 0.7691874298036779, y: 0.655772298848898
x: 0.7676095888300856, y: 0.6547863543823133
x: 0.7660325806397236, y: 0.653800930296446
x: 0.764456405232592, y: 0.6528160265912963
x: 0.7628810626086908, y: 0.651831643266864
x: 0.7613065527680201, y: 0.6508477803231493
x: 0.7597328757105798, y: 0.649864437760152
x: 0.7581600314363699, y: 0.6488816155778722
x: 0.7565880199453905, y: 0.6478993137763098
x: 0.7550168412376415, y: 0.646917532355465
x: 0.7534464953131229, y: 0.6459362713153376
x: 0.7518769821718347, y: 0.6449555306559277
x: 0.750308301813777, y: 0.6439753103772352
x: 0.7487404542389496, y: 0.6429956104792602
x: 0.7471734394473527, y: 0.6420164309620028
x: 0.7456072574389863, y: 0.6410377718254627
x: 0.7440419082138502, y: 0.6400596330696402
x: 0.7424773917719446, y: 0.6390820146945352
x: 0.7409137081132694, y: 0.6381049167001476
x: 0.7393508572378247, y: 0.6371283390864775
x: 0.7377888391456103, y: 0.6361522818535249
x: 0.7362276538366265, y: 0.6351767450012897
x: 0.734667301310873, y: 0.6342017285297721
x: 0.7331077815683499, y: 0.6332272324389719
x: 0.7315490946090573, y: 0.6322532567288892
x: 0.729991240432995, y: 0.631279801399524
x: 0.7284342190401633, y: 0.6303068664508762
x: 0.7268780304305619, y: 0.6293344518829459
x: 0.725322674604191, y: 0.6283625576957331
x: 0.7237681515610505, y: 0.6273911838892378
x: 0.7222144613011404, y: 0.6264203304634599
x: 0.7206616038244608, y: 0.6254499974183996
x: 0.7191095791310115, y: 0.6244801847540566
x: 0.7175583872207927, y: 0.6235108924704312
x: 0.7160080280938043, y: 0.6225421205675233
x: 0.7144585017500463, y: 0.6215738690453328
x: 0.7129098081895188, y: 0.6206061379038599
x: 0.7113619474122217, y: 0.6196389271431043
x: 0.709814919418155, y: 0.6186722367630663
x: 0.7082687242073188, y: 0.6177060667637457
x: 0.706723361779713, y: 0.6167404171451426
x: 0.7051788321353376, y: 0.615775287907257
x: 0.7036351352741926, y: 0.6148106790500889
x: 0.702092271196278, y: 0.6138465905736382
x: 0.7005502399015939, y: 0.612883022477905
x: 0.6990090413901402, y: 0.6119199747628894
x: 0.697468675661917, y: 0.6109574474285911
x: 0.6959291427169241, y: 0.6099954404750104
