x: 1, y: 0.8
x: 1.000034896243743, y: 0.8019992044650945
x: 1.0000697839183545, y: 0.8039979180049707
x: 1.0001046630238344, y: 0.8059961406196284
x: 1.0001395335601828, y: 0.8079938723090679
x: 1.0001743955273996, y: 0.8099911130732891
x: 1.0002092489254848, y: 0.811987862912292
x: 1.0002440937544383, y: 0.8139841218260765
x: 1.0002789300142605, y: 0.8159798898146426
x: 1.000313757704951, y: 0.8179751668779905
x: 1.00034857682651, y: 0.8199699530161201
x: 1.0003833873789374, y: 0.8219642482290314
x: 1.0004181893622333, y: 0.8239580525167243
x: 1.0004529827763975, y: 0.8259513658791988
x: 1.00048776762143, y: 0.8279441883164551
x: 1.0005225438973313, y: 0.829936519828493
x: 1.0005573116041009, y: 0.8319283604153127
x: 1.0005920707417388, y: 0.833919710076914
x: 1.0006268213102454, y: 0.835910568813297
x: 1.0006615633096203, y: 0.8379009366244616
x: 1.0006962967398636, y: 0.839890813510408
x: 1.0007310216009755, y: 0.841880199471136
x: 1.0007657378929558, y: 0.8438690945066457
x: 1.0008004456158044, y: 0.845857498616937
x: 1.0008351447695214, y: 0.8478454118020101
x: 1.000869835354107, y: 0.8498328340618648
x: 1.000904517369561, y: 0.8518197653965013
x: 1.0009391908158833, y: 0.8538062058059194
x: 1.0009738556930743, y: 0.8557921552901191
x: 1.0010085120011336, y: 0.8577776138491006
x: 1.0010431597400613, y: 0.8597625814828637
x: 1.0010777989098576, y: 0.8617470581914085
x: 1.0011124295105223, y: 0.863731043974735
x: 1.0011470515420553, y: 0.8657145388328431
x: 1.0011816650044567, y: 0.867697542765733
x: 1.0012162698977267, y: 0.8696800557734045
x: 1.001250866221865, y: 0.8716620778558577
x: 1.0012854539768719, y: 0.8736436090130926
x: 1.0013200331627472, y: 0.8756246492451091
x: 1.001354603779491, y: 0.8776051985519073
x: 1.001389165827103, y: 0.8795852569334872
x: 1.0014237193055835, y: 0.8815648243898488
x: 1.0014582642149326, y: 0.8835439009209921
x: 1.00149280055515, y: 0.885522486526917
x: 1.0015273283262358, y: 0.8875005812076237
x: 1.0015618475281902, y: 0.8894781849631119
x: 1.001596358161013, y: 0.891455297793382
x: 1.0016308602247042, y: 0.8934319196984336
x: 1.001665353719264, y: 0.8954080506782669
x: 1.001699838644692, y: 0.8973836907328819
x: 1.0017343150009885, y: 0.8993588398622786
