x: 1, y: 0.8
x: 1.0019922915698642, y: 0.8001743029268015
x: 1.003984485313409, y: 0.8003485972949089
x: 1.0059765812306345, y: 0.8005228831043224
x: 1.0079685793215405, y: 0.800697160355042
x: 1.0099604795861272, y: 0.8008714290470677
x: 1.0119522820243947, y: 0.8010456891803993
x: 1.0139439866363427, y: 0.8012199407550371
x: 1.0159355934219714, y: 0.8013941837709809
x: 1.0179271023812806, y: 0.8015684182282308
x: 1.0199185135142705, y: 0.8017426441267868
x: 1.0219098268209412, y: 0.8019168614666488
x: 1.0239010423012924, y: 0.8020910702478168
x: 1.0258921599553243, y: 0.802265270470291
x: 1.027883179783037, y: 0.8024394621340711
x: 1.0298741017844302, y: 0.8026136452391573
x: 1.031864925959504, y: 0.8027878197855497
x: 1.0338556523082585, y: 0.8029619857732481
x: 1.0358462808306936, y: 0.8031361432022525
x: 1.0378368115268095, y: 0.803310292072563
x: 1.039827244396606, y: 0.8034844323841795
x: 1.041817579440083, y: 0.8036585641371021
x: 1.0438078166572407, y: 0.8038326873313308
x: 1.045797956048079, y: 0.8040068019668656
x: 1.047787997612598, y: 0.8041809080437063
x: 1.0497779413507977, y: 0.8043550055618532
x: 1.051767787262678, y: 0.8045290945213062
x: 1.0537575353482391, y: 0.8047031749220651
x: 1.0557471856074807, y: 0.8048772467641302
x: 1.057736738040403, y: 0.8050513100475013
x: 1.0597261926470058, y: 0.8052253647721784
x: 1.0617155494272894, y: 0.8053994109381617
x: 1.0637048083812537, y: 0.805573448545451
x: 1.0656939695088985, y: 0.8057474775940463
x: 1.067683032810224, y: 0.8059214980839478
x: 1.06967199828523, y: 0.8060955100151552
x: 1.0716608659339169, y: 0.8062695133876688
x: 1.0736496357562844, y: 0.8064435082014885
x: 1.0756383077523324, y: 0.8066174944566141
x: 1.0776268819220611, y: 0.8067914721530459
x: 1.0796153582654706, y: 0.8069654412907837
x: 1.0816037367825606, y: 0.8071394018698276
x: 1.0835920174733313, y: 0.8073133538901776
x: 1.0855802003377826, y: 0.8074872973518336
x: 1.0875682853759145, y: 0.8076612322547956
x: 1.0895562725877272, y: 0.8078351585990637
x: 1.0915441619732205, y: 0.8080090763846379
x: 1.0935319535323944, y: 0.8081829856115181
x: 1.095519647265249, y: 0.8083568862797045
x: 1.0975072431717843, y: 0.8085307783891968
x: 1.0994947412520002, y: 0.8087046619399952
x: 1.1014821415058966, y: 0.8088785369320998
x: 1.1034694439334738, y: 0.8090524033655103
x: 1.1054566485347317, y: 0.8092262612402269
x: 1.10744375530967, y: 0.8094001105562496
x: 1.1094307642582892, y: 0.8095739513135783
x: 1.1114176753805889, y: 0.8097477835122131
x: 1.1134044886765693, y: 0.809921607152154
x: 1.1153912041462304, y: 0.8100954222334009
x: 1.117377821789572, y: 0.8102692287559539
x: 1.1193643416065944, y: 0.8104430267198129
x: 1.1213507635972975, y: 0.810616816124978
x: 1.123337087761681, y: 0.8107905969714492
x: 1.1253233140997454, y: 0.8109643692592264
x: 1.1273094426114902, y: 0.8111381329883097
x: 1.1292954732969158, y: 0.811311888158699
x: 1.1312814061560221, y: 0.8114856347703945
x: 1.133267241188809, y: 0.811659372823396
x: 1.1352529783952765, y: 0.8118331023177034
x: 1.1372386177754246, y: 0.8120068232533171
x: 1.1392241593292534, y: 0.8121805356302367
x: 1.141209603056763, y: 0.8123542394484624
x: 1.143194948957953, y: 0.8125279347079942
x: 1.1451801970328237, y: 0.8127016214088321
x: 1.1471653472813752, y: 0.8128752995509759
x: 1.1491503997036072, y: 0.8130489691344259
x: 1.15113535429952, y: 0.813222630159182
x: 1.1531202110691132, y: 0.8133962826252441
x: 1.1551049700123872, y: 0.8135699265326123
x: 1.157089631129342, y: 0.8137435618812865
x: 1.1590741944199772, y: 0.8139171886712668
x: 1.1610586598842931, y: 0.8140908069025532
x: 1.1630430275222896, y: 0.8142644165751456
x: 1.1650272973339668, y: 0.8144380176890441
x: 1.1670114693193248, y: 0.8146116102442487
x: 1.1689955434783632, y: 0.8147851942407592
x: 1.1709795198110824, y: 0.814958769678576
x: 1.1729633983174823, y: 0.8151323365576987
x: 1.1749471789975627, y: 0.8153058948781274
x: 1.176930861851324, y: 0.8154794446398623
x: 1.1789144468787656, y: 0.8156529858429032
x: 1.180897934079888, y: 0.8158265184872502
x: 1.182881323454691, y: 0.8160000425729033
x: 1.1848646150031747, y: 0.8161735580998624
x: 1.1868478087253391, y: 0.8163470650681275
x: 1.1888309046211842, y: 0.8165205634776987
x: 1.1908139026907099, y: 0.816694053328576
x: 1.1927968029339162, y: 0.8168675346207593
x: 1.194779605350803, y: 0.8170410073542488
x: 1.1967623099413707, y: 0.8172144715290443
x: 1.198744916705619, y: 0.8173879271451457
x: 1.2007274256435478, y: 0.8175613742025534
x: 1.2027098367551574, y: 0.817734812701267
x: 1.2046921500404475, y: 0.8179082426412867
x: 1.2066743654994183, y: 0.8180816640226125
x: 1.2086564831320699, y: 0.8182550768452443
x: 1.210638502938402, y: 0.8184284811091822
x: 1.2126204249184147, y: 0.8186018768144262
x: 1.2146022490721082, y: 0.8187752639609762
x: 1.2165839753994823, y: 0.8189486425488323
x: 1.218565603900537, y: 0.8191220125779944
x: 1.2205471345752723, y: 0.8192953740484626
x: 1.2225285674236883, y: 0.8194687269602369
x: 1.224509902445785, y: 0.8196420713133172
x: 1.2264911396415623, y: 0.8198154071077036
x: 1.2284722790110203, y: 0.8199887343433961
x: 1.2304533205541588, y: 0.8201620530203947
x: 1.232434264270978, y: 0.8203353631386993
x: 1.234415110161478, y: 0.82050866469831
x: 1.2363958582256585, y: 0.8206819576992267
x: 1.2383765084635197, y: 0.8208552421414494
x: 1.2403570608750616, y: 0.8210285180249783
x: 1.242337515460284, y: 0.8212017853498133
x: 1.2443178722191872, y: 0.8213750441159542
x: 1.246298131151771, y: 0.8215482943234013
x: 1.2482782922580353, y: 0.8217215359721544
x: 1.2502583555379805, y: 0.8218947690622135
x: 1.2522383209916061, y: 0.8220679935935787
x: 1.2542181886189125, y: 0.82224120956625
x: 1.2561979584198995, y: 0.8224144169802273
x: 1.258177630394567, y: 0.8225876158355108
x: 1.2601572045429155, y: 0.8227608061321002
x: 1.2621366808649443, y: 0.8229339878699957
x: 1.264116059360654, y: 0.8231071610491973
x: 1.2660953400300443, y: 0.823280325669705
x: 1.2680745228731152, y: 0.8234534817315187
x: 1.2700536078898668, y: 0.8236266292346385
x: 1.2720325950802989, y: 0.8237997681790643
x: 1.2740114844444117, y: 0.8239728985647962
x: 1.2759902759822053, y: 0.8241460203918342
x: 1.2779689696936793, y: 0.8243191336601782
x: 1.2799475655788342, y: 0.8244922383698282
x: 1.2819260636376697, y: 0.8246653345207844
x: 1.2839044638701858, y: 0.8248384221130466
x: 1.2858827662763825, y: 0.8250115011466148
x: 1.2878609708562598, y: 0.8251845716214892
x: 1.2898390776098179, y: 0.8253576335376696
x: 1.2918170865370566, y: 0.825530686895156
x: 1.293794997637976, y: 0.8257037316939485
x: 1.295772810912576, y: 0.8258767679340471
